+---------------------------------------------+----------------------+---------------------+---------------------+
|                    Model                    | Mean Reciprocal Rank |  Average Precision  |    Recall By User   |
|  1024_10_0.1_0.005_20000_May04_01-44-33.pth | 0.055610278337404735 | 0.015438299655925428 | 0.014231846690692012 |
|  1024_10_0.1_0.005_50000_May04_02-23-43.pth | 0.06576598191564126  | 0.016407820732973602 | 0.013276558058377384 |
|  1024_10_0.5_0.005_5000_May04_03-26-55.pth  | 0.057415052439602494 | 0.015588520687473868 | 0.01540849299399084  |
|  1024_10_0.5_0.005_20000_May04_03-53-42.pth | 0.050268566286897964 | 0.014009108546037732 | 0.013956766163765578 |
|  1024_10_0.5_0.005_50000_May04_04-33-25.pth | 0.051496075202900796 | 0.013177920872771877 | 0.011715167042835158 |
|   1024_10_1_0.005_5000_May04_05-37-55.pth   | 0.054025684588167595 | 0.015139060716115678 | 0.014213988868710269 |
|   1024_10_1_0.005_20000_May04_06-04-28.pth  | 0.04660442648743585  | 0.012367008998913022 | 0.011658414675932961 |
|   1024_10_1_0.005_50000_May04_06-43-35.pth  | 0.053774534774307665 | 0.014836312989126464 | 0.013939108692257523 |
+---------------------------------------------+----------------------+----------------------+----------------------+
+---------------------------------------------+----------------------+----------------------+----------------------+
|                    Model                    | Mean Reciprocal Rank |  Average Precision   |    Recall By User    |
+---------------------------------------------+----------------------+----------------------+----------------------+
|  512_10_0.05_0.005_5000_May03_11-29-10.pth  | 0.05239419278707636  | 0.01578357024425523  | 0.016028659894562536 |
|  512_10_0.05_0.005_20000_May03_12-03-43.pth | 0.05919858582814622  | 0.018303023445637636 | 0.017141751399840727 |
|  512_10_0.05_0.005_50000_May03_12-57-31.pth | 0.07127766504692405  | 0.02004931452792134  | 0.017569863460292046 |
|   512_10_0.1_0.005_5000_May03_14-23-23.pth  | 0.05891896131494118  | 0.017076746355424773 | 0.016131081794273493 |
|  512_10_0.1_0.005_20000_May03_15-01-17.pth  | 0.06464374436947497  | 0.017975018576839395 | 0.016265088894843124 |
|  512_10_0.1_0.005_50000_May03_15-53-08.pth  | 0.06952491609003647  | 0.018864799537407898 |  0.0178875924265017  |
